"Source:","/home/tamas/general/holobone/hardware/cape/holobone.sch"
"Date:","Sat 12 Dec 2020 08:17:06 PM GMT"
"Tool:","Eeschema 5.1.6-c6e7f7d~87~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","52"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Store"
"","","R16","18.7K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080518k7fkea/res-18k7-1-0-125w-0805-thick-film/dp/1652934?st=smd%20resisitor"
"","","R17","18.7K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080518k7fkea/res-18k7-1-0-125w-0805-thick-film/dp/1652934?st=smd%20resisitor"
"","","R18","16.2K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"","","R19","16.2K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"","","R20","16.2K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"","","R21","16.2K","Device:R_Small","Resistor_SMD:R_0805_2012Metric","","https://uk.farnell.com/vishay/crcw080516k2fkea/res-16k2-1-0-125w-0805-thick-film/dp/1469878?st=smd%20resisitor"
"","","RV1","100R","Device:R_POT","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","http://www.farnell.com/datasheets/2061261.pdf","https://uk.farnell.com/bourns/3296w-1-101lf/trimmer-25-turn-100r/dp/9353160"
"","","SW1","SW_DIP_x02","Switch:SW_DIP_x02","Package_DIP:DIP-4_W7.62mm_SMDSocket_SmallPads","http://www.farnell.com/datasheets/2918533.pdf","https://uk.farnell.com/multicomp/mcdm-r-02-t/switch-2-way-spst-flush/dp/9472029?st=smd%20dip%202"
"","","U1","LM4040DBZ-2.0","Reference_Voltage:LM4040DBZ-2.0","Package_TO_SOT_SMD:SOT-23","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf","https://uk.farnell.com/texas-instruments/lm4040d20idbztg4/voltage-ref-shunt-2-048v-sot-23/dp/3124434"
"","","U2","CAT24C256","Memory_EEPROM:CAT24C256","Package_SO:TSSOP-8_4.4x3mm_P0.65mm","https://www.onsemi.cn/PowerSolutions/document/CAT24C256-D.PDF","https://uk.farnell.com/on-semiconductor/cat24c256yi-gt3/eeprom-256kbit-i2c-1mhz-tssop/dp/2464468?st=CAT24C256"
"","","U3","TL084","Amplifier_Operational:TL084","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","http://www.ti.com/lit/ds/symlink/tl081.pdf","https://uk.farnell.com/texas-instruments/tl084cpwr/ic-op-amp-3mhz-13v-us-tssop-14/dp/3005142?st=TL084"
